"CTCB","no","ctcproject","/fstool/project","/SFS/project",,"ctcIsilon2","Jason Huges"
"CTCB","no","mpdata","/SFS/project/mpData",,"ctcIsilon2","Blake Dubois","Molecular Profile Data"
"CTCB","no","scratch","/SFS/project/scratch",,"ctcIsilon2","Everybody","Temp Storage"
"CTCB","no","omicsoft","/SFS/project/omicsoft",,"ctcIsilon2",,"Omic Software Project"
"CTCB","yes","ctchome","/SFS/user/ctc","/home","NetApp23","Everybody","User Home Directory"
"CTCB","yes","data1","/SFS/archive/data1",,"NetApp23",,"Archive stuff"
"CTCB","yes","omic_prod","/SFS/project/omicsoft/data/store-prod",,"NetApp25",,"Omics Prod"
"CTCB","yes","omic_test","/SFS/project/omicsoft/data/store-test",,"NetApp25",,"Omics Test"
"CTCB","yes","omic_hdf5_prod","/SFS/project/omicsoft/data/hdf5-prod",,"NetApp25",,"Omics HDF5 Prod"
"CTCB","yes","omic_hdf5_test","/SFS/project/omicsoft/data/hdf5-test",,"NetApp25",,"Omics HDF5 Test"
